                       s                 #              ssssssg
      b w           m  w                 #     s sss  wwbbbb###          
      b w      ########bbbb  www   b     #     b bbb
      b w   k w#               bbbb      #      1
      b w   b b#          111            #      
   ###wwwbbbwww                          #   bbb
                                  bbbb   #ww                                            
                                         #b    w
                                         b  b w b
                                         b       bw
                                    #####    ssssw
                                        #    bbbb 
                                        #ssssss











_______________________________________________________________
